,grant_type,fiscal_year_total_cost
426,r01,764853480.0
946,z01,124794378.0
796,u01,103478015.0
343,p01,88370892.0
505,r21,60359305.0
296,n01,56471259.0
389,p50,45183588.0
588,r37,34745025.0
899,u54,32782158.0
675,r44,26395070.0
366,p30,19932941.0
175,k08,18558758.0
766,t32,16778691.0
693,r56,14791870.0
229,k23,11703477.0
864,u24,11267828.0
823,u10,8854375.0
652,r43,7001864.0
60,f31,6331920.0
137,k02,5721696.0
83,f32,4981772.0
877,u44,4028043.0
440,r03,3871901.0
524,r24,3715932.0
116,k01,3565007.0
197,k12,3278309.0
38,f30,2761096.0
713,rl1,2669229.0
610,r41,2304653.0
630,r42,2283772.0
486,r15,2098911.0
263,k25,1472532.0
247,k24,1417859.0
726,s11,1189417.0
274,k99,1103536.0
400,pl1,975318.0
463,r13,965507.0
540,r25,651990.0
575,r34,476719.0
214,k22,460904.0
836,u13,282800.0
28,f05,102652.0
780,t35,20674.0
